SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
966866,966912,354200,354199,4.88019e+06,89035,3.977e+06,17666,1682,1689,1480,1485
954132,954124,354365,354363,5.31054e+06,94100,2.85382e+06,82521,1684,1689,1480,1485
956448,956440,354899,354970,5.22651e+06,98065,4.15145e+06,17643,1682,1688,1480,1485
966470,966462,354060,354058,5.16584e+06,28045,3.8184e+06,91016,1683,1688,1480,1485
964601,964593,354215,354222,5.19987e+06,90516,3.84522e+06,22934,1680,1685,1480,1486
963434,963425,356765,356774,4.41504e+06,84606,3.6452e+06,79095,1680,1687,1483,1488
959753,959745,354588,354586,5.94578e+06,97636,3.41728e+06,88939,1678,1683,1480,1485
955542,955535,354625,354623,5.50075e+06,101409,3.93282e+06,17885,1680,1684,1481,1486
966284,966281,354970,354990,5.27329e+06,34321,2.82127e+06,82675,1678,1683,1480,1485
964792,964784,354421,354419,4.60482e+06,81272,4.2092e+06,17924,1676,1681,1480,1485
967072,967154,354023,354089,4.70685e+06,90191,3.75506e+06,90427,1677,1683,1480,1485
966516,966508,354114,354112,5.65618e+06,101313,3.64745e+06,17438,1677,1682,1479,1484
966164,966165,354294,354292,4.07169e+06,25296,3.82541e+06,87029,1681,1686,1480,1484
965442,965442,354228,354239,5.17106e+06,87626,3.36369e+06,86748,1677,1682,1481,1486
963248,963240,354863,354861,5.05173e+06,102100,3.94588e+06,17847,1675,1681,1479,1484
943885,943877,354101,354099,4.54733e+06,80282,2.80623e+06,82794,1678,1683,1481,1485
946441,946434,354035,354053,6.02526e+06,102117,5.68934e+06,97433,1678,1683,1485,1489
934241,934234,354232,354230,3.61822e+06,21699,2.34308e+06,13920,1676,1682,1481,1486
957432,957424,354583,354582,5.93977e+06,92527,3.81154e+06,87634,1680,1686,1481,1486
964759,964751,354916,355046,4.04614e+06,85382,4.58058e+06,24356,1676,1681,1485,1491
963234,963226,341332,341331,5.34537e+06,93622,2.86731e+06,79170,1679,1684,1492,1497
957786,957844,340633,340631,5.45684e+06,100510,3.79823e+06,17097,1680,1685,1486,1492
961955,961948,323002,323009,4.95923e+06,27926,3.67713e+06,88261,1681,1687,1484,1490
966535,966539,343251,343248,6.12336e+06,95239,3.80234e+06,17631,1680,1685,1487,1492
966016,966017,330246,330245,4.05122e+06,83717,3.12441e+06,82647,1678,1683,1503,1509
966828,966866,320019,320037,4.86546e+06,96100,3.71776e+06,91257,1677,1683,1487,1493
966996,966989,321092,321090,5.95334e+06,91713,3.80601e+06,17735,1677,1683,1487,1493
967083,967075,308862,308859,3.79625e+06,22938,3.43084e+06,84081,1679,1684,1485,1491
966740,966732,325911,325941,4.75252e+06,89948,3.89397e+06,17399,1676,1681,1486,1492
967745,967738,327347,327345,4.90334e+06,95662,3.86292e+06,89750,1676,1682,1487,1493
997031,997023,317897,317894,5.08839e+06,32489,4.4052e+06,89321,1678,1683,1486,1491
927240,927232,325387,325397,4.94466e+06,89347,2.63713e+06,13274,1678,1683,1487,1492
937099,937091,334346,334406,4.99582e+06,94572,3.63664e+06,88394,1680,1685,1486,1492
916643,916641,303715,303713,4.812e+06,84586,3.95288e+06,17237,1677,1682,1490,1495
936032,936025,310207,310218,4.9278e+06,94653,2.92719e+06,83127,1692,1698,1486,1492
957725,957717,337579,337676,5.97067e+06,36694,4.15569e+06,18278,1682,1686,1489,1494
963680,963680,311006,311004,4.36814e+06,83576,3.82694e+06,90267,1676,1681,1482,1487
966728,966719,322097,322223,4.64606e+06,88184,3.62963e+06,17896,1677,1682,1437,1443
965547,965538,320412,320748,3.65938e+06,88892,3.45481e+06,84733,1676,1681,1099,1105
965725,965718,305034,305273,5.14745e+06,94397,3.54458e+06,88334,1677,1682,863,869
936016,936008,313666,313663,5.30085e+06,29290,3.8867e+06,17758,1676,1681,859,864
967841,967834,314554,314702,5.24318e+06,94536,3.41921e+06,83117,1684,1690,855,860
966626,966618,308686,308700,5.67014e+06,91705,3.75514e+06,17229,1681,1686,856,861
966960,966952,297565,297713,4.2374e+06,88465,3.78995e+06,91061,1678,1683,855,860
966473,966465,310062,310098,6.45303e+06,102964,3.62976e+06,16952,1680,1685,860,866
960079,960071,311312,311566,4.55823e+06,20823,3.90384e+06,89905,1678,1684,869,874
964862,964907,304531,304615,5.78247e+06,93564,2.93713e+06,11394,1679,1684,867,873
995964,995981,315387,315387,5.35164e+06,97765,3.0918e+06,83725,1679,1684,881,869
961762,961775,318973,318973,4.2762e+06,87328,3.77734e+06,89529,1677,1682,862,868
920303,920295,322034,322031,5.81336e+06,96910,3.73278e+06,17849,1675,1680,859,863
950330,950322,325778,325776,5.83748e+06,99764,3.35298e+06,84071,1678,1683,857,862
951593,951585,327485,327482,5.69844e+06,100340,3.91816e+06,17620,1678,1682,855,861
966711,966703,306176,306174,5.67216e+06,96449,3.81518e+06,88638,1680,1684,855,860
941929,942009,325860,325857,5.67477e+06,25819,3.71934e+06,17758,1678,1683,858,862
967969,967961,341073,341071,5.45107e+06,94409,3.57978e+06,86263,1678,1683,856,861
962552,962555,336546,336544,5.62033e+06,97985,3.39735e+06,87304,1709,1685,857,862
967099,967109,348014,348029,4.65642e+06,87542,3.87265e+06,17241,1677,1682,856,861
966703,966776,341466,341464,5.80437e+06,96532,3.6377e+06,85209,1679,1684,857,861
966762,966760,324655,324652,5.593e+06,100349,3.94621e+06,17973,1678,1682,858,862
966649,966657,331939,331937,5.84734e+06,100157,3.49151e+06,88388,1679,1684,857,862
966520,966524,336302,336301,5.68265e+06,25704,3.75498e+06,17809,1679,1684,857,861
967318,967318,332891,332890,5.34874e+06,91779,3.21923e+06,84878,1678,1683,857,862
966910,966913,331601,331600,5.51733e+06,96779,3.85053e+06,89724,1677,1682,857,861
966653,966654,335040,335039,4.6838e+06,88805,3.68812e+06,17285,1678,1682,856,861
996190,996194,334045,334097,5.96349e+06,99360,3.32614e+06,82896,1678,1683,856,861
966760,966752,332810,332809,5.56407e+06,96340,4.16055e+06,19940,1679,1684,856,861
966488,966481,333446,333445,5.5667e+06,26772,3.53716e+06,87088,1679,1685,855,860
967002,967067,333786,333846,5.32878e+06,93444,3.7164e+06,17836,1681,1686,856,860
964112,964104,331191,331189,6.67666e+06,102952,2.98022e+06,82442,1676,1681,856,861
947402,947394,336449,336447,2.92294e+06,82004,4.02146e+06,89679,1680,1685,856,861
949306,949309,331066,331086,6.1424e+06,98846,3.18881e+06,15317,1677,1681,855,861
966319,966311,331358,331356,5.64417e+06,100042,3.3438e+06,85922,1446,1452,856,861
949981,949973,339307,339306,5.63006e+06,99391,3.92236e+06,17508,988,993,856,860
964818,964811,332870,332878,5.60415e+06,27017,3.72079e+06,86609,987,991,858,862
966489,966481,339724,339722,5.7176e+06,88509,3.77996e+06,17446,988,993,856,860
965436,965427,341414,341413,5.21863e+06,99551,3.40238e+06,87447,988,993,857,861
959877,959869,312487,312535,5.36244e+06,88462,3.84146e+06,91058,989,995,857,861
957659,957651,323837,323839,5.22992e+06,97694,3.74162e+06,17767,987,991,857,862
964059,964057,323230,323228,5.47525e+06,95906,3.2283e+06,82407,989,994,856,862
958160,958152,305969,305992,5.94538e+06,103068,3.92875e+06,17734,990,994,856,861
963716,963708,313233,313231,5.66519e+06,95558,3.2173e+06,84536,988,993,856,861
962247,962239,331005,331003,5.67865e+06,24845,4.1047e+06,17284,987,992,855,860
966731,966722,330445,330453,5.06478e+06,91656,3.71899e+06,88992,986,991,856,861
967267,967264,326280,326277,4.48066e+06,90144,3.72004e+06,91459,988,993,856,862
966684,966676,326494,326492,5.50354e+06,95257,3.8192e+06,17440,988,993,857,861
966681,966673,327626,327680,6.01924e+06,99680,3.1443e+06,83019,988,992,856,861
964119,964111,328887,328884,5.67007e+06,98595,4.09969e+06,17710,988,993,856,860
967560,967552,336862,336860,5.57084e+06,26982,3.11288e+06,83394,988,993,857,862
964254,964305,331054,331071,5.19138e+06,90894,3.90128e+06,17287,988,993,856,861
965312,965304,318784,318782,5.46445e+06,93776,3.5285e+06,90818,990,995,857,862
967144,967173,330132,330131,5.34768e+06,95949,4.7366e+06,90987,989,994,856,861
967237,967229,333486,333493,5.04879e+06,94521,2.68153e+06,14217,988,993,855,860
962029,962020,313950,313948,5.52866e+06,98749,3.62018e+06,87876,988,994,855,860
946331,946323,332314,332312,5.32085e+06,28111,3.67403e+06,17782,988,993,858,863
961628,961620,316526,316575,4.82868e+06,87005,3.99214e+06,84727,988,992,856,861
956571,956563,312396,312425,4.38934e+06,89992,3.6774e+06,17311,989,993,856,861
950468,950508,324178,324176,5.73079e+06,99545,3.3697e+06,87168,987,992,856,860
955863,955855,310586,310606,5.29357e+06,95820,3.69466e+06,17786,995,999,861,868
955294,955286,317698,317697,5.35686e+06,29740,3.24001e+06,84257,994,999,862,868
966770,966762,328027,328025,6.79046e+06,96423,3.69698e+06,88564,994,999,867,874
966742,966734,340981,340988,4.01458e+06,90477,3.83785e+06,17220,993,998,864,870
967016,967008,319790,319788,4.702e+06,87431,3.3575e+06,83451,995,1000,856,861
951141,951133,331078,331076,5.42062e+06,98940,3.895e+06,17217,994,999,856,861
958343,958336,326728,326781,5.21679e+06,97457,4.50653e+06,93428,995,1000,855,860
966440,966432,308864,308863,4.99506e+06,28165,2.62415e+06,10893,994,999,858,863
962786,962779,321263,321260,5.47178e+06,86966,3.30701e+06,87822,994,999,855,859
957142,957133,316932,316929,4.93166e+06,90439,3.8383e+06,89430,994,999,857,861
964494,964491,310098,310117,4.95358e+06,96781,4.59821e+06,23737,993,998,857,861
966692,966761,318383,318381,5.02558e+06,93967,2.16918e+06,76889,993,999,855,860
966889,966880,319085,319083,4.83398e+06,28502,4.10908e+06,17646,993,998,856,861
966952,966944,323751,323759,5.6132e+06,95727,3.89387e+06,90564,994,999,856,861
966675,966666,330370,330368,4.76461e+06,86400,3.66516e+06,17255,996,1000,858,862
966706,966698,326735,326734,4.9925e+06,94479,3.13195e+06,82979,992,997,855,860
966660,966652,316747,316800,5.19402e+06,29478,3.68154e+06,91400,994,999,857,862
966699,966691,318817,318815,5.70386e+06,110682,3.72855e+06,17823,993,997,856,861
966906,966898,336339,336337,4.18021e+06,91285,3.19118e+06,82081,995,999,856,861
967372,967364,322768,322789,4.19309e+06,69105,3.95373e+06,17590,994,999,857,861
969156,969149,315988,315986,5.28472e+06,100449,3.21443e+06,82943,993,998,857,861
966741,966732,328184,328182,4.98778e+06,27789,3.90999e+06,17799,994,999,855,860
966369,966425,310544,310552,5.40352e+06,89454,3.5822e+06,92266,992,997,856,861
967925,967916,324588,324587,4.28096e+06,84769,3.76146e+06,17455,992,998,856,861
966127,966119,337051,337049,5.3965e+06,95834,3.58611e+06,83723,993,998,856,861
894017,894009,332974,333020,5.28447e+06,95821,3.67323e+06,88611,996,1001,859,864
901971,901964,311850,311847,5.22108e+06,28939,3.78342e+06,17785,994,998,859,864
894172,894165,325603,325601,5.09376e+06,92040,3.14092e+06,85135,998,1004,855,861
893253,893245,311763,311779,5.55504e+06,94475,4.21825e+06,20002,1000,1006,856,861
887241,887234,317782,317811,4.39224e+06,89322,3.91068e+06,87422,994,999,855,860
885667,885659,341131,341130,5.07951e+06,29673,3.77284e+06,90044,994,999,856,860
967457,967450,336928,336934,4.85416e+06,90797,3.75794e+06,17229,993,999,854,858
966531,966523,319033,319031,5.14772e+06,94447,3.2983e+06,83888,995,999,854,860
966655,966653,343683,343681,4.43447e+06,85292,4.29737e+06,19404,993,998,853,860
966579,966572,337723,337773,4.97201e+06,99596,3.6597e+06,88818,995,1000,851,856
966665,966657,328897,328895,5.14142e+06,31764,3.74107e+06,89290,997,1003,849,854
966811,966808,333505,333503,4.65288e+06,83270,4.50593e+06,24701,1000,1006,848,853
966813,966804,326905,326921,4.58562e+06,88252,3.14658e+06,79902,998,1003,848,853
967367,967390,314322,314319,5.04884e+06,96181,3.7566e+06,17835,993,998,849,853
969039,969032,334191,334189,4.75282e+06,24649,3.80205e+06,86651,996,1001,848,853
966800,966822,331946,331956,5.63326e+06,95339,3.68687e+06,17578,994,999,849,853
967582,967590,325870,325868,4.40392e+06,86042,3.07103e+06,83123,993,997,849,854
